puhekieli	kirjakieli	english	my	category
femma	viisi euroa	five euros	ငါး ယူရို	helsinki_slang_or_slangy
vitone	viisi euroa	five euros	 ငါး ယူရို	helsinki_slang_or_slangy
kybä	kymmenen euroa	ten euros	တစ်ဆယ် ယူရို	helsinki_slang_or_slangy
kakskybää	kaksikymmentä euroa	twenty euros	ယူရို နှစ်ဆယ်	helsinki_slang_or_slangy
kolmekybää	kolmekymmentä euroa	thirty euros	ယူရို သုံးဆယ်	helsinki_slang_or_slangy
huntti	sata euroa	hundred euros	ယူရို တစ်ရာ	helsinki_slang_or_slangy
miltsi	miljoona	million	တစ်သန်း	helsinki_slang_or_slangy
spora	raitiovaunu	tram	tram ရထား	helsinki_slang_or_slangy
dösä	bussi	bus	ဘတ်စ်ကား	helsinki_slang_or_slangy
tsygä	pyörä	bike	စက်ဘီး	helsinki_slang_or_slangy
dallata	kävellä	to walk	လမ်းလျှောက်ရန်	helsinki_slang_or_slangy
stoge	juna	train	ရထား	helsinki_slang_or_slangy
kärry	auto	car	မော်တော်ကား	helsinki_slang_or_slangy
botski	vene / laiva	boat / ship	လှေ / သင်္ဘော	helsinki_slang_or_slangy
dösäri	bussipysäkki	bus stop	ဘတ်စ်ကားမှတ်တိုင်	helsinki_slang_or_slangy
stadi	Helsinki / keskusta	Helsinki / downtown	Helsinki / မြို့လယ်	helsinki_slang_or_slangy
skutsi	syrjäinen paikka / metsä	boonies / forest area	မြို့ပြင်ဝေးလံနေရာ / သစ်တောဧရိယာ	helsinki_slang_or_slangy
lande	maaseutu	countryside	ကျေးလက်ဒေသ	helsinki_slang_or_slangy
Steissi	päärautatieasema	central railway station	ဗဟိုရထားဘူတာ / ဘူတာကြီး	helsinki_slang_or_slangy
Kaisis	Kaisaniemi	Kaisaniemi	Kaisaniemi, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Kruna	Kruunuhaka	Kruunuhaka	Kruunuhaka, Helsinki ရှိ ရပ်ကွက်အမည်	helsinki_slang_or_slangy
Skatta	Katajanokka	Katajanokka	Katajanokka, Helsinki ရှိ ရပ်ကွက်အမည်	helsinki_slang_or_slangy
Hakis	Hakaniemi	Hakaniemi	Hakaniemi, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Sörkka	Sörnäinen	Sörnäinen	Sörnäinen	helsinki_slang_or_slangy
Suokki	Suomenlinna	Suomenlinna	Suomenlinna, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Ruohis	Ruoholahti	Ruoholahti	Ruoholahti, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Rööperi	Punavuori	Punavuori	Punavuori, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Hertsika	Herttoniemi	Herttoniemi	Herttoniemi, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Vuokki	Vuosaari	Vuosaari	Vuosaari, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Laru	Lauttasaari	Lauttasaari	Lauttasaari, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Munkka	Munkkiniemi	Munkkiniemi	Munkkiniemi, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Itis	Itäkeskus	Itäkeskus	Itäkeskus, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Ogeli	Oulunkylä	Oulunkylä	Oulunkylä, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Tiksi	Tikkurila	Tikkurila	Tikkurila, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Lepuski	Leppävaara	Leppävaara	Leppävaara, Helsinki ရှိ နေရာအမည်	helsinki_slang_or_slangy
Espa	Esplanadi	Esplanade Park	Esplanade ပန်းခြံ	helsinki_slang_or_slangy
Kaivari	Kaivopuisto	Kaivopuisto Park	Kaivopuisto ပန်းခြံ	helsinki_slang_or_slangy
Koffari	Sinebrychoffin puisto	Sinebrychoff Park	Sinebrychoff ပန်းခြံ	helsinki_slang_or_slangy
Hietsu	Hietaniemen uimaranta	Hietaniemi beach	Hietaniemi ကမ်းခြေ	helsinki_slang_or_slangy
Mansku	Mannerheimintie	Mannerheim Road	Mannerheim လမ်း	helsinki_slang_or_slangy
Hesari	Helsinginkatu	Helsinginkatu street	Helsinginkatu လမ်း	helsinki_slang_or_slangy
Flemari	Fleminginkatu	Fleminginkatu street	Fleminginkatu လမ်း	helsinki_slang_or_slangy
Aleksi	Aleksanterinkatu	Aleksanterinkatu street	Aleksanterinkatu လမ်း	helsinki_slang_or_slangy
Roba	Roobertinkatu	Roobertinkatu street	Roobertinkatu လမ်း	helsinki_slang_or_slangy
Freda	Fredrikinkatu	Fredrikinkatu street	Fredrikinkatu လမ်း	helsinki_slang_or_slangy
Lönkka	Lönnrotinkatu	Lönnrotinkatu street	Lönnrotinkatu လမ်း	helsinki_slang_or_slangy
Tennari	Tennispalatsi	Tennispalatsi	Tennispalatsi, Helsinki မြို့လယ်ရှိ Tennispalatsi အဆောက်အအုံအမည်	helsinki_slang_or_slangy
Stokka	Stockmann	Stockmann department store	Stockmann ကုန်တိုက်	helsinki_slang_or_slangy
Lintsi	Linnanmäki	Linnanmäki amusement park	Linnanmäki အပန်းဖြေပန်းခြံ	helsinki_slang_or_slangy
Jenkit	Yhdysvallat	United States	အမေရိကန်ပြည်ထောင်စု	helsinki_slang_or_slangy
Britit	Britannia / Iso-Britannia	United Kingdom / Brits	ယူနိုက်တက်ကင်းဒမ်း / ဗြိတိန်လူမျိုးများ	helsinki_slang_or_slangy
Aussit	Australia / australialaiset	Australia / Australians	ဩစတြေးလျ / ဩစတြေးလျလူမျိုးများ	helsinki_slang_or_slangy
Köpis	Kööpenhamina	Copenhagen	Copenhagen မြို့	helsinki_slang_or_slangy
Stokis	Tukholma	Stockholm	Stockholm	helsinki_slang_or_slangy
Losi	Los Angeles	Los Angeles	Los Angeles မြို့	helsinki_slang_or_slangy
Nyki	New York	New York City	New York မြို့	helsinki_slang_or_slangy
heila	kevyt suhde	fling / romance	ခဏတာအပျော်တွဲ / အချစ်ရေး	helsinki_slang_or_slangy
deitit	treffit	date	ချိန်းတွေ့ခြင်း	helsinki_slang_or_slangy
treffata	tavata / käydä treffeillä	to meet / date	တွေ့ဆုံရန် / ချိန်းတွေ့ရန်	helsinki_slang_or_slangy
kortsu	kondomi	condom	ကွန်ဒုံး	helsinki_slang_or_slangy
kumi	kondomi	condom	ကွန်ဒုံး	helsinki_slang_or_slangy
frendi	ystävä / kaveri	friend	သူငယ်ချင်း	helsinki_slang_or_slangy
bestis	paras ystävä	best friend	အချစ်ဆုံးသူငယ်ချင်း	helsinki_slang_or_slangy
chillata	rauhoittua / rentoutua	to chill	အနားယူရန် / အေးဆေးနေရန်	helsinki_slang_or_slangy
kyökki	keittiö	kitchen	မီးဖိုခန်း	helsinki_slang_or_slangy
systeri	sisko	sister	အစ်မ / ညီမ	helsinki_slang_or_slangy
broidi	veli	brother	အစ်ကို / ညီ	helsinki_slang_or_slangy
käty	kämppä tyhjänä	empty house / parents away/ to signal the perfect opportunity to host a house party or have friends over	ပါတီပေးရန် အိမ်တွင် မိဘများ မရှိခြင်းကို အသိပေး	helsinki_slang_or_slangy
blehat	aurinkolasit	sunglasses	နေကာမျက်မှန်	helsinki_slang_or_slangy
arskat	aurinkolasit	sunglasses	နေကာမျက်မှန်	helsinki_slang_or_slangy
lätsä	lakki / hattu	cap / hat	ဦးထုပ်	helsinki_slang_or_slangy
rotsi	takki	jacket	ဂျာကင်အင်္ကျီ	helsinki_slang_or_slangy
buutsit	saappaat	boots	ဘွတ်ဖိနပ်	helsinki_slang_or_slangy
byysat	housut	pants / trousers	ဘောင်းဘီ	helsinki_slang_or_slangy
murkina	ruoka	food	အစားအစာ	helsinki_slang_or_slangy
sapuska	ruoka	food	အစားအစာ	helsinki_slang_or_slangy
hodari	hot dog	hot dog	ဟော့ဒေါ့	helsinki_slang_or_slangy
burgeri	hampurilainen	burger	ဘာဂါ	helsinki_slang_or_slangy
kebu	kebab	kebab	ကဘပ်	helsinki_slang_or_slangy
lafka	paikka / klubi / baari	place / joint / venue	နေရာ / ဆိုင် / ပွဲကျင်းပရာနေရာ	helsinki_slang_or_slangy
Ärrä	R-kioski	R-kioski	R-kioski ဆိုင်	helsinki_slang_or_slangy
räkälä	huono baari	dive bar: an unpretentious, inexpensive, and sometimes rough-around-the-edges local bar where regulars gather to drink	အဆင့်နိမ့် ဘား / ဘီယာဆိုင်	helsinki_slang_or_slangy
terde	terassi	terrace	ဆိုင်အပြင်က ထိုင်ခုံနေရာ	helsinki_slang_or_slangy
bilettää	juhlia	to party	ပါတီလုပ်ရန်	helsinki_slang_or_slangy
jorata	tanssia	to dance	ကခုန်ရန်	helsinki_slang_or_slangy
reivata	tanssia reiveissä	to rave	rave ပွဲတွင် ကရန်	helsinki_slang_or_slangy
kemut	juhlat	party	ပါတီ / ပွဲ	helsinki_slang_or_slangy
kekkerit	juhlat	party	ပါတီ / ပွဲ	helsinki_slang_or_slangy
hipat	juhlat	party	ပါတီ / ပွဲ	helsinki_slang_or_slangy
bailut	juhlat	party	ပါတီ / ပွဲ	helsinki_slang_or_slangy
reivit	reivit	rave party	rave ပါတီ	helsinki_slang_or_slangy
etkot	esijuhlat	pre-party	ပွဲမစမီ ပါတီ	helsinki_slang_or_slangy
jatkot	jälkijuhlat	after-party	ပွဲပြီးနောက် ပါတီ	helsinki_slang_or_slangy
tuparit	tupaantuliaiset	housewarming party	အိမ်သစ်တက်ပွဲ	helsinki_slang_or_slangy
läksärit	läksiäiset	farewell party	နှုတ်ဆက်ပွဲ	helsinki_slang_or_slangy
polttarit	polttarit	bachelor / bachelorette party	မင်္ဂလာမဆောင်မီ ပါတီ	helsinki_slang_or_slangy
poke	portsari	bouncer	တံခါးစောင့် / လုံခြုံရေး	helsinki_slang_or_slangy
portsari	ovimies	bouncer	တံခါးစောင့် / လုံခြုံရေး	helsinki_slang_or_slangy
avekki	avec	plus one	plus one /အဖော်တစ်ယောက်ခေါ်လာမယ်	helsinki_slang_or_slangy
punkku	punaviini	red wine	ဝိုင်နီ	helsinki_slang_or_slangy
valkkari	valkoviini	white wine	ဝိုင်ဖြူ	helsinki_slang_or_slangy
skumppa	kuohuviini	sparkling wine	sparkling wine/ အမြှုပ်ဝိုင်	helsinki_slang_or_slangy
kessu	tupakka	cigarette	စီးကရက်	helsinki_slang_or_slangy
stenkku	sytkäri	lighter	မီးခြစ်	helsinki_slang_or_slangy
darra	krapula	hangover	အရက်နာကျခြင်း	helsinki_slang_or_slangy
laatta	oksennus	vomit	အန်ဖတ်	helsinki_slang_or_slangy
laatata	oksentaa	to vomit	အန်ရန်	helsinki_slang_or_slangy
morkkis	katumus / ahdistus	remorse / hangxiety/ moral hangover	အရက်နာကျခြင်း	helsinki_slang_or_slangy
meitsi	minä	me / I	ကျွန်ုပ် / ငါ	helsinki_slang_or_slangy
meikä	minä	me / I	ကျွန်ုပ် / ငါ	helsinki_slang_or_slangy
teitsi	sinä	you	သင် / မင်း	helsinki_slang_or_slangy
teikä	sinä	you	သင် / မင်း	helsinki_slang_or_slangy
heittää lipat	kaatua	to fall	လဲကျရန်	helsinki_slang_or_slangy
pannuttaa	kaatua	to fall / crash	လဲကျရန် / တိုက်မိကျရန်	helsinki_slang_or_slangy
delata	kuolla	to die	သေရန်	helsinki_slang_or_slangy
jubailla	puhua / jutella	to chat	စကားပြောရန်	helsinki_slang_or_slangy
lätistä	puhua paljon	to chatter	စကားများများပြောရန်	helsinki_slang_or_slangy
länkyttää	valittaa / puhua ärsyttävästi	to blabber, ramble, or complain annoyingly	အပြစ်တင်ပြောရန် / စိတ်ဆိုးပြီးပြောရန်	helsinki_slang_or_slangy
urputtaa	valittaa	to complain	တိုင်ကြားရန် / ညည်းညူရန်	helsinki_slang_or_slangy
fleksata	leveillä	to flex / brag	ကြွားရန်	helsinki_slang_or_slangy
dorka	idiootti	idiot	မိုက်မဲသူ	helsinki_slang_or_slangy
urpo	idiootti	idiot	မိုက်မဲသူ	helsinki_slang_or_slangy
jeesata	auttaa	to help	ကူညီရန်	helsinki_slang_or_slangy
jelppiä	auttaa	to help	ကူညီရန်	helsinki_slang_or_slangy
jelpata	auttaa	to help	ကူညီရန်	helsinki_slang_or_slangy
dyykata	roskiksesta etsiä	to dumpster dive	အမှိုက်ပုံးထဲမှ အသုံးဝင်ပစ္စည်းရှာရန်	helsinki_slang_or_slangy
bunkata	yöpyä jonkun luona	to crash at someone’s place	တစ်ယောက်ယောက်၏နေရာတွင် ညအိပ်ရန်	helsinki_slang_or_slangy
hiffata	ymmärtää	to understand	နားလည်ရန်	helsinki_slang_or_slangy
tsiigata	katsoa	to look	ကြည့်ရန်	helsinki_slang_or_slangy
piffata	tarjota / maksaa toiselle	to pay for someone	တစ်ယောက်ယောက်အတွက် ငွေပေးချေရန်	helsinki_slang_or_slangy
pummata	pyytää ilmaiseksi	to bum / ask for free	အခမဲ့တောင်းရန်	helsinki_slang_or_slangy
