puhekieli	kirjakieli	english	my	category
hima	koti	home	အိမ်	
kämppä	asunto	apartment / flat	တိုက်ခန်း / အခန်း	
kämppis / kämppäkaveri	samassa asunnossa asuva henkilö	roommate / flatmate	အခန်းဖော် / အိမ်ဖော်	
veski	vessa	toilet / WC	အိမ်သာ / WC	
olkkari	olohuone	living room	ဧည့်ခန်း	
makkari	makuuhuone	bedroom	အိပ်ခန်း	
telkkari	televisio	television	ရုပ်မြင်သံကြား	
kylppäri	kylpyhuone	bathroom	ရေချိုးခန်း	
roskis	roskakori / roska-astia	trashcan / recycle bin	အမှိုက်ပုံး / ပြန်လည်သုံးစွဲရန် ပုံး	
remppa	remontti / korjaustyö	renovation	ပြုပြင်မွမ်းမံခြင်း	
mesta	paikka	place	နေရာ	
safka	ruoka	food	အစားအစာ	
rafla	ravintola	restaurant	စားသောက်ဆိုင်	
kokata	laittaa ruokaa	to cook	ချက်ပြုတ်ရန်	
hamppari	hampurilainen	hamburger	ဟမ်ဘာဂါ	
jälkkäri	jälkiruoka	dessert	အချိုပွဲ	
jätski	jäätelö	ice cream	ရေခဲမုန့်	
karkki	karamelli / makeinen	candy / sweet	သကြားလုံး / အချို	
purkka	purukumi	chewing gum	ပီကေ	
limu	virvoitusjuoma	soft drink / soda	အချိုရည် / ဆိုဒါ	
bisse	olut / kalja	beer	ဘီယာ	
ryypätä	juopotella / juoda alkoholia	to drink alcohol	အရက်သောက်ရန်	
känni	humalatila / juopumus	drunkenness	မူးယစ်နေခြင်း	
snägäri	nakkikioski / grillikioski	food kiosk	အစားအစာ kiosk ဆိုင်	
matsi	ottelu	match	ပြိုင်ပွဲ	
futis	jalkapallo	football	ဘောလုံး	
lätkä	jääkiekko	ice hockey	ရေခဲဟော်ကီ	
koris	koripallo	basketball	ဘတ်စကက်ဘော	
fillari	polkupyörä / pyörä	bicycle	စက်ဘီး	
snoukka	lumilauta	snowboard	နှင်းစီးဘုတ်	
lenkkarit	lenkkikengät / lenkkitossut	sneakers / trainers	အားကစားဖိနပ်	
treeni	harjoitus	training	လေ့ကျင့်မှု	
kilsa	kilometri	kilometer	ကီလိုမီတာ	
jengi	joukkue / porukka / ihmiset	team / group / people	အသင်း / အုပ်စု / လူများ	
kisa	kilpailu	competition	ပြိုင်ပွဲ	
duuni	työ / työpaikka	work / job	အလုပ်	
firma	yritys	company	ကုမ္ပဏီ	
ruokkis	ruokatauko	meal break	အစားစားနားချိန်	
pomo	johtaja / esimies	boss / manager	အထက်လူကြီး / မန်နေဂျာ	
paltsu	palaveri	meeting	အစည်းအဝေး	
neukkari	neuvotteluhuone	meeting room	အစည်းအဝေးခန်း	
soppari	sopimus	contract / agreement	စာချုပ် / သဘောတူညီချက်	
diili	sopimus	deal / agreement	အပေးအယူ / သဘောတူညီချက်	
vakkari	vakituinen	permanent employee	အမြဲတမ်း ဝန်ထမ်း	
saikku	sairasloma	sick leave	နာမကျန်းခွင့်	
